time,lat,lon,sst,chlor_a,depth,water_u,water_v,current_speed,fish_presence
2020-01-01,5.1,79.6,28.38,0.177759,0,-0.537,-0.073,0.5419391109709651,0
2020-01-01,5.1,79.6,28.38,0.177759,0,-0.516,-0.047,0.5181360825111488,0
2020-01-01,5.1,79.6,28.38,0.177759,0,-0.54,-0.022,0.5404479623423517,0
2020-01-01,5.1,79.6,28.38,0.177759,0,-0.51,0.004,0.5100156860332827,0
2020-01-01,5.1,79.6,28.38,0.177759,0,-0.557,0.004,0.5570143624719205,0
2020-01-01,5.1,79.6,28.38,0.177759,0,-0.527,0.035,0.528160960314183,0
2020-01-01,5.1,79.6,28.38,0.177759,0,-0.541,-0.048,0.5431252157652046,0
2020-01-01,5.1,79.6,28.38,0.177759,0,-0.515,-0.013,0.515164051540866,0
2020-01-01,5.1,79.6,28.38,0.175152,0,-0.537,-0.073,0.5419391109709651,0
2020-01-01,5.1,79.6,28.38,0.175152,0,-0.516,-0.047,0.5181360825111488,0
2020-01-01,5.1,79.6,28.38,0.175152,0,-0.54,-0.022,0.5404479623423517,0
2020-01-01,5.1,79.6,28.38,0.175152,0,-0.51,0.004,0.5100156860332827,0
2020-01-01,5.1,79.6,28.38,0.175152,0,-0.557,0.004,0.5570143624719205,0
2020-01-01,5.1,79.6,28.38,0.175152,0,-0.527,0.035,0.528160960314183,0
2020-01-01,5.1,79.6,28.38,0.175152,0,-0.541,-0.048,0.5431252157652046,0
2020-01-01,5.1,79.6,28.38,0.175152,0,-0.515,-0.013,0.515164051540866,0
2020-01-01,5.1,79.6,28.38,0.18207,0,-0.537,-0.073,0.5419391109709651,0
2020-01-01,5.1,79.6,28.38,0.18207,0,-0.516,-0.047,0.5181360825111488,0
2020-01-01,5.1,79.6,28.38,0.18207,0,-0.54,-0.022,0.5404479623423517,0
2020-01-01,5.1,79.6,28.38,0.18207,0,-0.51,0.004,0.5100156860332827,0
2020-01-01,5.1,79.6,28.38,0.18207,0,-0.557,0.004,0.5570143624719205,0
2020-01-01,5.1,79.6,28.38,0.18207,0,-0.527,0.035,0.528160960314183,0
2020-01-01,5.1,79.6,28.38,0.18207,0,-0.541,-0.048,0.5431252157652046,0
2020-01-01,5.1,79.6,28.38,0.18207,0,-0.515,-0.013,0.515164051540866,0
2020-01-01,5.1,79.6,28.38,0.178597,0,-0.537,-0.073,0.5419391109709651,0
2020-01-01,5.1,79.6,28.38,0.178597,0,-0.516,-0.047,0.5181360825111488,0
2020-01-01,5.1,79.6,28.38,0.178597,0,-0.54,-0.022,0.5404479623423517,0
2020-01-01,5.1,79.6,28.38,0.178597,0,-0.51,0.004,0.5100156860332827,0
2020-01-01,5.1,79.6,28.38,0.178597,0,-0.557,0.004,0.5570143624719205,0
2020-01-01,5.1,79.6,28.38,0.178597,0,-0.527,0.035,0.528160960314183,0
2020-01-01,5.1,79.6,28.38,0.178597,0,-0.541,-0.048,0.5431252157652046,0
2020-01-01,5.1,79.6,28.38,0.178597,0,-0.515,-0.013,0.515164051540866,0
2020-01-01,5.1,79.6,28.38,0.184136,0,-0.537,-0.073,0.5419391109709651,0
2020-01-01,5.1,79.6,28.38,0.184136,0,-0.516,-0.047,0.5181360825111488,0
2020-01-01,5.1,79.6,28.38,0.184136,0,-0.54,-0.022,0.5404479623423517,0
2020-01-01,5.1,79.6,28.38,0.184136,0,-0.51,0.004,0.5100156860332827,0
2020-01-01,5.1,79.6,28.38,0.184136,0,-0.557,0.004,0.5570143624719205,0
2020-01-01,5.1,79.6,28.38,0.184136,0,-0.527,0.035,0.528160960314183,0
2020-01-01,5.1,79.6,28.38,0.184136,0,-0.541,-0.048,0.5431252157652046,0
2020-01-01,5.1,79.6,28.38,0.184136,0,-0.515,-0.013,0.515164051540866,0
2020-01-01,5.1,79.6,28.38,0.183472,0,-0.537,-0.073,0.5419391109709651,0
2020-01-01,5.1,79.6,28.38,0.183472,0,-0.516,-0.047,0.5181360825111488,0
2020-01-01,5.1,79.6,28.38,0.183472,0,-0.54,-0.022,0.5404479623423517,0
2020-01-01,5.1,79.6,28.38,0.183472,0,-0.51,0.004,0.5100156860332827,0
2020-01-01,5.1,79.6,28.38,0.183472,0,-0.557,0.004,0.5570143624719205,0
